,open,high,low,close,volume
2015-04-10,194.6500,195.8600,194.0900,195.6400,1764216
2015-04-13,195.3200,197.3800,194.7700,195.5800,2196136
2015-04-14,196.9800,198.4900,195.7100,197.7200,3267415
2015-04-15,198.2100,202.1400,197.3900,201.1000,5066095
2015-04-16,202.7000,202.8700,198.7000,200.2100,5976908
2015-04-17,197.8400,198.2500,195.6500,197.3500,4577858
2015-04-20,199.0700,199.6000,197.9200,198.1000,2616642
2015-04-21,198.9700,199.5000,196.5800,196.8400,1868271
2015-04-22,197.9100,199.1596,196.5700,198.3200,1938121
2015-04-23,198.1600,200.4900,197.6000,199.3100,2043946
2015-04-24,199.0000,199.1000,197.4500,197.9900,1445668
2015-04-27,198.7600,199.3100,196.3700,196.5200,1758712
2015-04-28,196.2000,197.6090,194.4000,197.4900,1909349
2015-04-29,195.7900,199.7300,195.4800,198.5600,2480474
2015-04-30,198.4000,199.7500,195.4000,196.4200,2732757
2015-05-01,198.4500,198.5700,196.8300,197.5300,2029500
2015-05-04,198.2600,199.7200,197.9000,199.3000,1581596
2015-05-05,198.3100,200.3900,196.7200,197.2900,2287420
2015-05-06,197.7500,198.5900,194.0100,196.2500,2433284
2015-05-07,196.2600,197.9500,194.8100,197.3900,1795322
2015-05-08,199.1000,201.3400,199.1000,200.5000,3191957
2015-05-11,200.2900,201.9499,200.2900,201.7300,1966669
2015-05-12,200.4800,201.0400,198.0700,200.5300,2246452
2015-05-13,200.4700,201.7500,199.8500,201.4300,2143328
2015-05-14,202.3300,202.8800,201.4300,202.6200,1957048
2015-05-15,202.5500,202.9700,201.8150,202.9700,1742556
2015-05-18,202.6500,205.1800,202.6400,204.6600,2163773
2015-05-19,204.9900,206.2000,204.5500,205.4000,2370071
2015-05-20,205.1700,205.9600,204.1500,205.0800,1831221
2015-05-21,204.6000,205.2100,204.1750,204.9500,2224777
2015-05-22,204.6600,208.2600,204.6300,207.8000,3040357
2015-05-26,207.5200,207.5200,205.0000,206.3800,3332385
2015-05-27,206.8900,209.6800,205.8700,209.0600,3011357
2015-05-28,208.0800,208.5900,207.2800,208.4800,3084930
2015-05-29,208.2300,208.2700,205.6200,206.1900,2255524
2015-06-01,207.3200,208.8200,206.8900,207.8100,2087363
2015-06-02,206.8500,207.8400,205.6540,206.4300,2230554
2015-06-03,207.5200,210.1700,206.7700,208.2900,2417000
2015-06-04,207.6000,210.0600,207.0000,208.8700,3462485
2015-06-05,210.7000,211.9400,208.5500,210.4500,3225056
2015-06-08,211.1500,211.7000,209.4501,209.7900,2180658
2015-06-09,210.0000,210.4400,207.6200,209.0200,2278834
2015-06-10,209.7200,213.4000,209.3600,213.1300,2677304
2015-06-11,213.1700,214.6050,212.8700,213.9400,2024123
2015-06-12,213.4800,214.0100,212.0100,213.0600,2006235
2015-06-15,210.8900,212.3400,210.3800,211.7600,1903767
2015-06-16,211.8500,213.5700,211.1300,213.5600,1954185
2015-06-17,213.5900,214.5000,212.5710,212.9300,1778397
2015-06-18,213.4500,215.0100,212.0100,214.6000,2167188
2015-06-19,214.1200,215.0000,213.1900,213.1900,4163396
2015-06-22,215.0600,216.8100,215.0000,216.5100,2005919
2015-06-23,216.9200,218.7700,216.6400,218.4000,2735585
2015-06-24,216.2000,217.0000,213.7000,214.4300,3945027
2015-06-25,215.1500,215.8000,212.4900,212.8200,2434434
2015-06-26,213.6200,214.6100,212.5500,213.1700,2762601
2015-06-29,210.1400,211.2200,207.6500,207.6500,3292721
2015-06-30,209.8900,210.7900,208.1500,208.7900,4167331
2015-07-01,211.6300,212.4900,208.9450,209.9400,2820266
2015-07-02,209.9400,210.6300,208.5010,209.2000,1816596
2015-07-06,206.7100,208.5300,206.2600,208.0400,2814663
2015-07-07,207.9800,208.9700,203.2000,208.2100,3304151
2015-07-08,206.3000,206.7850,203.7004,204.0600,2185114
2015-07-09,207.1300,207.5500,204.4400,204.8100,2256224
2015-07-10,207.7200,207.9800,206.1800,207.1900,1840517
2015-07-13,209.4400,210.3100,208.6500,210.1200,2041670
2015-07-14,210.0100,212.7600,209.7000,212.1600,2090146
2015-07-15,213.5400,213.6100,211.4250,212.9600,2536657
2015-07-16,211.3900,214.1400,209.3200,211.1800,4405218
2015-07-17,210.7600,212.8000,209.7850,212.4600,2848961
